customer,part_id,customer_request,purchase_order,report_approval,record_approval,customer_approval,inspection_plan,assembled_record,,,,,,,,,,
mctractor,1135,,,,,,FALSE,FALSE,,,,,,,,,,
mctractor,1136,,,,,,FALSE,FALSE,,,,,,,,,,
mctractor,1138,,,,,,FALSE,FALSE,,,,,,,,,,
mctractor,1111,,WI35884724,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1112,,WI35884725,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1113,,WI35923006,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1114,,WI35884727,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1115,,WI35884728,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1119,,4503577674,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1120,,NH36011090,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1121,,4503739958,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1122,,3635191557,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1123,,GI36204940,,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1116,,WI35884729,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1117,,WI35884730,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,
mctractor,1118,,K02612001,FALSE,FALSE,,TRUE,FALSE,,,,,,,,,,
